,Trip.ID,Duration,Start.time,End.time,Starting.Station.ID,Starting.Station.Latitude,Starting.Station.Longitude,Ending.Station.ID,Ending.Station.Latitude,Ending.Station.Longitude,Bike.ID,Plan.Duration,Trip.Route.Category,Passholder.Type,Starting.Lat.Long,Ending.Lat.Long,Start.Time.NEW,order
1,2112527,420,7/9/16 06:48,7/9/16 06:55,3062,34.0477486,-118.24317,3063,34.0491982,-118.25283,6728,30,One Way,Monthly Pass,"{'longitude': '-118.24317', 'latitude': '34.0477486', 'needs_recoding': False}","{'longitude': '-118.25283', 'latitude': '34.0491982', 'needs_recoding': False}",7/9/16 06:48,1
2,2152800,2700,7/9/16 15:02,7/9/16 15:47,3063,34.0491982,-118.25283,3055,34.0441589,-118.25158,6728,365,One Way,Flex Pass,"{'longitude': '-118.25283', 'latitude': '34.0491982', 'needs_recoding': False}","{'longitude': '-118.25158', 'latitude': '34.0441589', 'needs_recoding': False}",7/9/16 15:02,2
3,2164020,600,7/9/16 17:41,7/9/16 17:51,3055,34.0441589,-118.25158,3030,34.0519409,-118.24353,6728,30,One Way,Monthly Pass,"{'longitude': '-118.25158', 'latitude': '34.0441589', 'needs_recoding': False}","{'longitude': '-118.24353', 'latitude': '34.0519409', 'needs_recoding': False}",7/9/16 17:41,3
4,2370219,300,7/11/16 00:37,7/11/16 00:42,3018,34.0437317,-118.26014,3056,34.0374603,-118.26538,6728,365,One Way,Flex Pass,"{'longitude': '-118.26014', 'latitude': '34.0437317', 'needs_recoding': False}","{'longitude': '-118.26538', 'latitude': '34.0374603', 'needs_recoding': False}",7/11/16 00:37,4
5,2463118,1500,7/11/16 13:15,7/11/16 13:40,3056,34.0374603,-118.26538,3056,34.0374603,-118.26538,6728,30,Round Trip,Monthly Pass,"{'longitude': '-118.26538', 'latitude': '34.0374603', 'needs_recoding': False}","{'longitude': '-118.26538', 'latitude': '34.0374603', 'needs_recoding': False}",7/11/16 13:15,5
6,2508115,1500,7/11/16 19:26,7/11/16 19:51,3056,34.0374603,-118.26538,3056,34.0374603,-118.26538,6728,30,Round Trip,Monthly Pass,"{'longitude': '-118.26538', 'latitude': '34.0374603', 'needs_recoding': False}","{'longitude': '-118.26538', 'latitude': '34.0374603', 'needs_recoding': False}",7/11/16 19:26,6
7,3807433,1380,7/20/16 08:08,7/20/16 08:31,3056,34.0374603,-118.26538,3036,34.0391884,-118.23253,6728,30,One Way,Monthly Pass,"{'longitude': '-118.26538', 'latitude': '34.0374603', 'needs_recoding': False}","{'longitude': '-118.23253', 'latitude': '34.0391884', 'needs_recoding': False}",7/20/16 08:08,7
8,3848315,360,7/20/16 18:05,7/20/16 18:11,3036,34.0391884,-118.23253,3021,34.0456085,-118.23703,6728,30,One Way,Monthly Pass,"{'longitude': '-118.23253', 'latitude': '34.0391884', 'needs_recoding': False}","{'longitude': '-118.23703', 'latitude': '34.0456085', 'needs_recoding': False}",7/20/16 18:05,8
9,3941798,1140,7/21/16 19:16,7/21/16 19:35,3021,34.0456085,-118.23703,3064,34.0468102,-118.25698,6728,365,One Way,Flex Pass,"{'longitude': '-118.23703', 'latitude': '34.0456085', 'needs_recoding': False}","{'longitude': '-118.25698', 'latitude': '34.0468102', 'needs_recoding': False}",7/21/16 19:16,9
10,3953789,960,7/21/16 22:10,7/21/16 22:26,3064,34.0468102,-118.25698,3014,34.0566101,-118.23721,6728,30,One Way,Monthly Pass,"{'longitude': '-118.25698', 'latitude': '34.0468102', 'needs_recoding': False}","{'longitude': '-118.23721', 'latitude': '34.0566101', 'needs_recoding': False}",7/21/16 22:10,10
11,3985191,1260,7/22/16 07:27,7/22/16 07:48,3014,34.0566101,-118.23721,3052,34.0511017,-118.26456,6728,30,One Way,Monthly Pass,"{'longitude': '-118.23721', 'latitude': '34.0566101', 'needs_recoding': False}","{'longitude': '-118.26456', 'latitude': '34.0511017', 'needs_recoding': False}",7/22/16 07:27,11
12,4683187,480,7/26/16 10:30,7/26/16 10:38,3052,34.0511017,-118.26456,3035,34.0484009,-118.26095,6728,30,One Way,Monthly Pass,"{'longitude': '-118.26456', 'latitude': '34.0511017', 'needs_recoding': False}","{'longitude': '-118.26095', 'latitude': '34.0484009', 'needs_recoding': False}",7/26/16 10:30,12
13,4682398,420,7/27/16 13:30,7/27/16 13:37,3067,34.0451813,-118.25024,3067,34.0451813,-118.25024,6728,30,Round Trip,Monthly Pass,"{'longitude': '-118.25024', 'latitude': '34.0451813', 'needs_recoding': False}","{'longitude': '-118.25024', 'latitude': '34.0451813', 'needs_recoding': False}",7/27/16 13:30,13
14,4682388,1380,7/27/16 13:40,7/27/16 14:03,3067,34.0451813,-118.25024,3038,34.0468216,-118.24835,6728,30,One Way,Monthly Pass,"{'longitude': '-118.25024', 'latitude': '34.0451813', 'needs_recoding': False}","{'longitude': '-118.24835', 'latitude': '34.0468216', 'needs_recoding': False}",7/27/16 13:40,14
