"","ds","y"
"1",2012-08-25,76
"2",2012-08-26,88
"3",2012-08-27,62
"4",2012-08-28,58
"5",2012-08-29,60
"6",2012-08-30,74
"7",2012-08-31,78
"8",2012-09-01,112
"9",2012-09-02,118
"10",2012-09-03,108
"11",2012-09-04,66
"12",2012-09-05,104
"13",2012-09-06,100
"14",2012-09-07,68
"15",2012-09-08,100
"16",2012-09-09,68
"17",2012-09-10,64
"18",2012-09-11,58
"19",2012-09-12,84
"20",2012-09-13,72
"21",2012-09-14,84
"22",2012-09-15,92
"23",2012-09-16,70
"24",2012-09-17,92
"25",2012-09-18,188
"26",2012-09-19,158
"27",2012-09-20,84
"28",2012-09-21,90
"29",2012-09-22,78
"30",2012-09-23,102
"31",2012-09-24,162
"32",2012-09-25,160
"33",2012-09-26,118
"34",2012-09-27,104
"35",2012-09-28,78
"36",2012-09-29,62
"37",2012-09-30,356
"38",2012-10-01,248
"39",2012-10-02,166
"40",2012-10-03,116
"41",2012-10-04,160
"42",2012-10-05,134
"43",2012-10-06,118
"44",2012-10-07,168
"45",2012-10-08,414
"46",2012-10-09,140
"47",2012-10-10,342
"48",2012-10-11,172
"49",2012-10-12,178
"50",2012-10-13,164
"51",2012-10-14,330
"52",2012-10-15,322
"53",2012-10-16,346
"54",2012-10-17,140
"55",2012-10-18,292
"56",2012-10-19,560
"57",2012-10-20,416
"58",2012-10-21,368
"59",2012-10-22,382
"60",2012-10-23,256
"61",2012-10-24,230
"62",2012-10-25,262
"63",2012-10-26,232
"64",2012-10-27,140
"65",2012-10-28,256
"66",2012-10-29,342
"67",2012-10-30,358
"68",2012-10-31,422
"69",2012-11-01,304
"70",2012-11-02,1112
"71",2012-11-03,584
"72",2012-11-04,450
"73",2012-11-05,678
"74",2012-11-06,474
"75",2012-11-07,334
"76",2012-11-08,280
"77",2012-11-09,348
"78",2012-11-10,412
"79",2012-11-11,758
"80",2012-11-12,620
"81",2012-11-13,366
"82",2012-11-14,304
"83",2012-11-15,356
"84",2012-11-16,504
"85",2012-11-17,280
"86",2012-11-18,280
"87",2012-11-19,316
"88",2012-11-20,318
"89",2012-11-21,374
"90",2012-11-22,344
"91",2012-11-23,256
"92",2012-11-24,136
"93",2012-11-25,172
"94",2012-11-26,146
"95",2012-11-27,358
"96",2012-11-28,190
"97",2012-11-29,166
"98",2012-11-30,176
"99",2012-12-01,210
"100",2012-12-02,284
"101",2012-12-03,402
"102",2012-12-04,356
"103",2012-12-05,244
"104",2012-12-06,204
"105",2012-12-07,488
"106",2012-12-08,254
"107",2012-12-09,210
"108",2012-12-10,478
"109",2012-12-11,596
"110",2012-12-12,332
"111",2012-12-13,396
"112",2012-12-14,422
"113",2012-12-15,238
"114",2012-12-16,632
"115",2012-12-17,526
"116",2012-12-18,376
"117",2012-12-19,350
"118",2012-12-20,512
"119",2012-12-21,494
"120",2012-12-22,242
"121",2012-12-23,418
"122",2012-12-24,580
"123",2012-12-25,376
"124",2012-12-26,254
"125",2012-12-27,290
"126",2012-12-28,256
"127",2012-12-29,304
"128",2012-12-30,324
"129",2012-12-31,618
"130",2013-01-01,402
"131",2013-01-02,292
"132",2013-01-03,278
"133",2013-01-04,564
"134",2013-01-05,352
"135",2013-01-06,178
"136",2013-01-07,488
"137",2013-01-08,362
"138",2013-01-09,238
"139",2013-01-10,220
"140",2013-01-11,344
"141",2013-01-12,222
"142",2013-01-13,174
"143",2013-01-14,262
"144",2013-01-15,662
"145",2013-01-16,626
"146",2013-01-17,892
"147",2013-01-18,742
"148",2013-01-19,444
"149",2013-01-20,410
"150",2013-01-21,832
"151",2013-01-22,718
"152",2013-01-23,508
"153",2013-01-24,504
"154",2013-01-25,470
"155",2013-01-26,314
"156",2013-01-27,308
